Aer Lingus,Ireland
Aeroflot*,Russia
Aerolineas Argentinas,Argentina
Aeromexico*,Mexico
Air Canada,Canada
Air France,France
Air India*,India
Air New Zealand*,New Zealand
Alaska Airlines*,United States
Alitalia,Italy
All Nippon Airways,Japan
American*,United States
Austrian Airlines,Austria
Avianca,Colombia
British Airways*,United Kingdom
Cathay Pacific*,Hong Kong
China Airlines,Taiwan
Condor,Germany
COPA,Panama
Delta / Northwest*,United States
Egyptair,Egypt
El Al,Israel
Ethiopian Airlines,Ethiopia
Finnair,Finland
Garuda Indonesia,Indonesia
Gulf Air,Bahrain
Hawaiian Airlines,United States
Iberia,Spain
Japan Airlines,Japan
Kenya Airways,Kenya
KLM*,Netherlands
Korean Air,South Korea
LAN Airlines,Chile
Lufthansa*,Germany
Malaysia Airlines,Malaysia
Pakistan International,Pakistan
Philippine Airlines,Philippines
Qantas*,Australia
Royal Air Maroc,Morocco
SAS*,Sweden
Saudi Arabian,Saudi Arabia
Singapore Airlines,Singapore
South African,South Africa
Southwest Airlines,United States
Sri Lankan / AirLanka,Sri Lanka
SWISS*,Switzerland
TACA,El Salvador
TAM,Brazil
TAP - Air Portugal,Portugal
Thai Airways,Thailand
Turkish Airlines,Turkey
United / Continental*,United States
US Airways / America West*,United States
Vietnam Airlines,Vietnam
Virgin Atlantic,United Kingdom
Xiamen Airlines,China
